Unit                           | UCT WR% | Steam WR% | Games
Vivid Drone                    |    0.0% |    100.0% | 4 <<<
Wild Drone                     |    0.0% |    100.0% | 4 <<<
Xeno Guardian                  |    0.0% |    100.0% | 4 <<<
Arms Race                      |   25.0% |     75.0% | 4 <<<
Cynestra                       |   25.0% |     75.0% | 4 <<<
Gauss Fabricator               |   25.0% |     75.0% | 4 <<<
Tesla Coil                     |   25.0% |     75.0% | 4 <<<
Aegis                          |   50.0% |     50.0% | 4
Amporilla                      |   50.0% |     50.0% | 4
Arka Sodara                    |   50.0% |     50.0% | 4
Asteri Cannon                  |   50.0% |     50.0% | 4
Centurion                      |   50.0% |     50.0% | 4
Cluster Bolt                   |   50.0% |     50.0% | 4
Corpus                         |   50.0% |     50.0% | 4
Cryo Ray                       |   50.0% |     50.0% | 4
Doomed Wall                    |   50.0% |     50.0% | 4
Electrovore                    |   50.0% |     50.0% | 4
Gaussite Symbiote              |   50.0% |     50.0% | 4
Grenade Mech                   |   50.0% |     50.0% | 4
Hellhound                      |   50.0% |     50.0% | 4
Innervi Field                  |   50.0% |     50.0% | 4
Iso Kronus                     |   50.0% |     50.0% | 4
Lucina Spinos                  |   50.0% |     50.0% | 4
Mega Drone                     |   50.0% |     50.0% | 4
Militia                        |   50.0% |     50.0% | 4
Oxide Mixer                    |   50.0% |     50.0% | 4
Perforator                     |   50.0% |     50.0% | 4
Photonic Fibroid               |   50.0% |     50.0% | 4
Pixie                          |   50.0% |     50.0% | 4
Plexo Cell                     |   50.0% |     50.0% | 4
Polywall                       |   50.0% |     50.0% | 4
Redeemer                       |   50.0% |     50.0% | 4
Resophore                      |   50.0% |     50.0% | 4
Savior                         |   50.0% |     50.0% | 4
Shadowfang                     |   50.0% |     50.0% | 4
Tantalum Ray                   |   50.0% |     50.0% | 4
Tatsu Nullifier                |   50.0% |     50.0% | 4
The Wincer                     |   50.0% |     50.0% | 4
Thorium Dynamo                 |   50.0% |     50.0% | 4
Thunderhead                    |   50.0% |     50.0% | 4
Tia Thurnax                    |   50.0% |     50.0% | 4
Xaetron                        |   50.0% |     50.0% | 4
Zemora Voidbringer             |   50.0% |     50.0% | 4
Frostbite                      |  100.0% |      0.0% | 4 >>>
Lancetooth                     |  100.0% |      0.0% | 4 >>>

Average LiveHardestAIUCT WR: 20.0%
Units where UCT < 40%: 67 | Units where UCT > 60%: 2

Sweep config: LiveHardestAIUCT vs SteamAI, equal think times (3s), 4 games per unit, player-switch
